"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,10289.52,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,10458.15,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,10619.01,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,10848.55,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,11059.18,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,11378.77,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,11652.31,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,11881.73,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,12412.48,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,12063.1,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,11768.04,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,9412.13,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,9198.45,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,9320.67,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,9485.34,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,9564.3,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,9458.25,,
"GRC","Greece","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,9399.45,,
"SVK","Slovak Republic","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,0.96,,
"SVK","Slovak Republic","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,1.08,,
"SVK","Slovak Republic","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,1.29,,
"SVK","Slovak Republic","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,1.4,,
"SVK","Slovak Republic","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,1.49,,
"SVK","Slovak Republic","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,1.6,,
"SVK","Slovak Republic","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,1.74,,
"SVK","Slovak Republic","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,1.82,,
"SVK","Slovak Republic","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,2,,
"SVK","Slovak Republic","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,2.09,,
